,Ticker,Price
0,AAB.TO,0.03500000014901161
1,AAV.TO,1.850000023841858
2,ACB.TO,1.059999942779541
3,ACD.TO,5.070000171661377
4,ACO.X.TO,0.0
5,ACQ.TO,6.059999942779541
6,AD.TO,9.279999732971191
7,ADW.A.TO,0.0
8,AEF.TO,0.29499998688697815
9,AEZS.TO,1.0199999809265137
10,AGF.B.TO,0.0
11,AGI.TO,9.630000114440918
12,AI.TO,9.319999694824219
13,AII.TO,0.4000000059604645
14,AIM.TO,2.130000114440918
15,AJX.TO,0.1599999964237213
16,AKG.TO,1.2599999904632568
17,AKT.A.TO,0.0
18,AKU.TO,3.200000047683716
19,ALB.TO,0.0
20,ALC.TO,9.619999885559082
21,ALEF.TO,0.3499999940395355
22,ALO.TO,0.8700000047683716
23,ALS.TO,7.940000057220459
24,ALYA.TO,2.4000000953674316
25,AMM.TO,0.550000011920929
26,ANX.TO,0.19499999284744263
27,AOI.TO,0.9900000095367432
28,AOT.TO,0.7300000190734863
29,AP.UN.TO,0.0
30,APHA.TO,4.820000171661377
31,APR.UN.TO,0.0
32,APS.TO,9.399999618530273
33,AQA.TO,0.11999999731779099
34,AR.TO,1.350000023841858
35,ARG.TO,0.2199999988079071
36,ARX.TO,5.230000019073486
37,ASM.TO,0.5199999809265137
38,ASND.TO,0.14000000059604645
39,ASP.TO,0.03999999910593033
40,ASR.TO,6.159999847412109
41,AT.TO,0.8799999952316284
42,ATD.A.TO,0.0
43,ATP.TO,2.8499999046325684
44,AUG.TO,1.590000033378601
45,AUGB.F.TO,0.0
46,AVCN.TO,1.0199999809265137
47,AVL.TO,0.03500000014901161
48,AVP.TO,0.03999999910593033
49,AW.UN.TO,0.0
50,AX.PR.A.TO,0.0
51,AXU.TO,2.2100000381469727
52,AZP.PR.A.TO,0.0
53,AZZ.TO,0.15000000596046448
54,BAM.A.TO,0.0
55,BAR.TO,0.46000000834465027
56,BB.TO,5.349999904632568
57,BBD.A.TO,0.0
58,BBL.A.TO,0.0
59,BBU.UN.TO,0.0
60,BC.U.TO,0.0
61,BDT.TO,5.050000190734863
62,BEI.UN.TO,0.0
63,BEK.B.TO,0.0
64,BEP.PR.E.TO,0.0
65,BGI.UN.TO,0.0
66,BIK.PR.A.TO,0.0
67,BIP.PR.A.TO,0.0
68,BIR.TO,1.1200000047683716
69,BK.TO,6.550000190734863
70,BKI.TO,0.05999999865889549
71,BKL.C.TO,0.0
72,BKX.TO,0.06499999761581421
73,BL.UN.TO,0.0
74,BLB.UN.TO,0.0
75,BNE.TO,1.4199999570846558
76,BNG.TO,0.029999999329447746
77,BOY.TO,0.30000001192092896
78,BPF.UN.TO,0.0
79,BPO.PR.A.TO,0.0
80,BPS.PR.A.TO,0.0
81,BPY.UN.TO,0.0
82,BR.TO,3.7699999809265137
83,BRE.TO,7.889999866485596
84,BRF.PR.A.TO,0.0
85,BRY.TO,0.054999999701976776
86,BSO.UN.TO,0.0
87,BSX.TO,0.48500001430511475
88,BTB.DB.F.TO,0.0
89,BTE.TO,0.39500001072883606
90,BTO.TO,6.349999904632568
91,BUA.UN.TO,0.0
92,BUI.TO,2.9000000953674316
93,BXS.DB.C.TO,0.0
94,BYL.TO,1.100000023841858
95,CAR.UN.TO,0.0
96,CBT.UN.TO,0.0
97,CCL.A.TO,0.0
98,CCM.TO,0.04500000178813934
99,CCS.PR.C.TO,0.0
100,CDD.UN.TO,0.0
101,CEE.TO,2.5999999046325684
